Lunar month,Sex,No. of cases,Order,Body length (cm),Body weight (g),Greater wing bone of sphenoid,Greater wing bone of sphenoid width(mm),Lesser wing bone of sphenoid length (mm),Lesser wing bone of sphenoid width (mm),Sphenoid bone length (mm),Sphenoid bone width (mm),Petrous part length (mm),Petrous part width (mm),Basal part of Occipatal bone length (mm),Basal part of Occipital bone width (mm),"Lateral part, of occipital bone length (mm)","Lateral part, of occipital bone width (mm)"
9.5,M,2,123,48,2553,28,14,17,10.9,10,16.7,32,17,12,13,22.5,12
9.5,M,3,124,48,3300,28,17,17,11,11,18,33.5,16,13,13.2,25,14.5
9.5,F,4,125,48,2510,28,14.6,17,11,11,17.2,36.5,18.3,12,12.5,21,11
10,F,7,125,51,3410,28,17.9,20,12,11.2,18.5,38,18,12.5,15.9,27.5,14.3
9.5,F,5,126,48,2460,30.5,15,17,10.5,12,17,36,17,12.5,13.5,24,14
9.5,F,6,127,48,3400,27,15.8,17,11,11.5,17.100000000000001,38,15,12.1,14,25.5,14.9
9.5,F,7,128,48,3450,30.5,17.5,18,12,11,18.5,37,17.8,12.3,13.6,26.6,15
10,M,1,129,50,2700,31,16,18,12,11,16,38,18,13,15,24,12
10,M,2,130,50,2650,30,14.1,19,12,11.5,17,37,17.5,13.6,14.4,29,11.5
10,M,3,131,50,3150,33.5,17,19,12.2,11,18,38,17.2,13.5,14,29,15
10,M,4,132,55,4120,34.5,22,20,13,12,18.2,37,16,13,17.7,27,16
10,F,5,133,51,3100,33,17,19,12,12,18,40,18,13,15,22,16
10,F,6,134,52,3180,30,17.6,19,12,12,18,37.6,16.3,12.2,13.4,22,11
10,F,8,136,52,3000,27.5,18,20,13,12,18.5,37,18.399999999999999,13,15.5,25.5,14.3
10,F,9,137,53,3000,30.4,17,20,13,12,18.3,40,18,13.5,15,25,12.2
10,F,10,138,53,3110,29.3,17.6,20,13,12,19,40.4,17.5,12.7,16,26.5,16.9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
