 lunarmonthold fetuses,Sex,No. of cases,Order of cases,Body length(cm),Body weight (g),Humerus Length (mm),Humerus Width (mm),Radius length (mm),Ulna length (mm),Femur Length (mm),Femur Width (mm),Tibia length (mm),Fibula length (mm)
7.5,M,6.0,95,38.0,1040,50.0,12.0,40.0,45.0,50.0,11.0,45.0,43.0
7.5,F,7.0,96,37.0,1010,44.0,11.8,39.0,43.0,49.0,12.0,44.0,44.0
7.5,F,8.0,97,37.0,810,45.6,11.4,40.0,43.5,47.0,11.5,43.0,42.6
7.5,F,9.0,98,37.0,920,47.0,11.8,38.0,43.0,49.0,12.0,46.0,45.0
7.5,F,10.0,99,38.0,950,50.0,13.3,40.6,46.6,52.6,13.0,46.8,46.0
7.5,F,11.0,100,38.0,1100,47.0,12.4,38.0,45.5,54.0,14.0,48.0,47.0
7.5,F,12.0,101,38.0,1100,46.5,12.5,37.2,42.0,50.0,13.0,42.5,41.0
8.0,M,1.0,102,40.0,1200,53.0,13.2,41.8,49.2,54.3,15.4,49.0,47.0
8.0,M,2.0,103,40.0,1310,50.0,12.0,41.2,47.0,56.3,13.5,50.2,48.0
8.0,M,3.0,104,40.0,1460,0.0,12.0,41.5,48.0,57.0,14.0,50.0,49.0
8.0,M,4.0,105,40.0,1500,52.5,12.6,43.2,49.1,59.0,15.6,52.0,50.2
8.0,M,5.0,106,40.0,1410,50.0,12.0,42.0,48.0,56.0,15.0,50.0,48.0
8.0,F,6.0,107,40.0,1310,51.0,12.1,40.0,46.5,55.0,13.0,49.0,47.0
8.0,F,7.0,108,40.0,1330,51.0,12.8,42.0,47.5,56.1,15.0,48.3,47.5
8.0,F,8.0,109,40.0,1250,47.0,12.5,37.0,41.2,52.5,14.0,43.7,41.0
8.5,M,1.0,110,42.0,1900,57.1,13.4,44.6,50.5,66.0,15.0,57.6,54.2
8.5,M,2.0,111,42.0,1920,55.0,13.0,44.0,50.0,57.0,14.0,52.0,50.0
8.5,M,3.0,112,42.0,1860,53.5,13.2,43.8,50.5,60.9,15.2,54.0,50.4
8.5,M,4.0,113,43.0,2100,53.0,13.0,44.5,51.0,60.0,16.0,54.0,51.5
8.5,M,5.0,114,42.0,1920,52.3,13.5,42.4,47.9,58.2,19.0,51.0,48.0
8.5,F,6.0,115,42.0,1510,51.0,13.8,41.0,46.5,58.5,15.0,51.2,50.0
8.5,F,7.0,116,43.0,1750,53.2,14.0,43.0,50.0,60.0,14.5,52.3,50.5
9.0,M,1.0,117,45.0,1990,54.0,14.0,44.0,50.0,60.0,17.0,50.7,48.5
9.0,M,,118,45.0,1990,55.0,14.0,45.0,52.0,61.0,17.0,54.0,51.0
9.0,M,3.0,119,45.0,1990,60.0,15.0,49.5,55.4,67.5,18.0,59.0,56.0
9.0,F,4.0,120,46.0,1800,55.0,14.5,45.5,50.0,61.4,16.3,55.0,52.1
9.0,F,5.0,121,46.0,1820,53.6,14.6,45.0,49.0,62.7,15.0,54.8,50.5
9.5,M,1.0,122,48.0,2650,58.0,15.0,45.7,52.7,64.0,18.0,56.0,53.6
9.5,M,2.0,123,48.0,2553,62.5,15.5,49.0,54.5,66.0,18.7,58.0,56.0
9.5,M,3.0,124,48.0,3300,62.2,15.2,51.0,57.2,67.0,18.2,59.5,57.2
